Record No,Order Priority,Sales,Discount,Ship Method,Customer Name,Region,Market Segment,Product Category 1,Product Category 2,Product Category 3,Product Category 4,Ship Container,Order ID,Ordered On,Delivered On,Product Inventory
5859,5-LOW,$128.86,10%,REGULAR AIR,Frank Olsen,EAST,HOME OFFICE              ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 1985,SMALL BOX,12921,05/06/2011,05/23/2011,OUT OF STOCK
5851,3-MEDIUM,$84.85,8%,REGULAR AIR,Jas O'Carroll,EAST,SMALL BUSINESS           ,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,POLY BINDERS,Angle-D Ring Binders,SMALL BOX,12917,05/05/2011,05/13/2011,IN STOCK
5852,2-HIGH,"$2,084.97",2%,REGULAR AIR,Barbara Fisher,CENTRAL,SMALL BUSINESS           ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Sony 6162I,SMALL BOX,12918,05/05/2011,05/08/2011,IN STOCK
5853,1-URGENT,"$2,626.35",8%,REGULAR AIR,Deanra Eno,CENTRAL,CORPORATE                ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,V60,SMALL BOX,12919,05/05/2011,05/08/2011,IN STOCK
5854,1-URGENT,"$11,582.62",6%,DELIVERY TRUCK,Deanra Eno,CENTRAL,CORPORATE                ,FURNITURE,CHAIRS & CHAIRMATS,OFFICE CHAIRS,Hon Olson Stacker Chairs,JUMBO DRUM,12919,05/05/2011,05/13/2011,IN STOCK
5850,1-URGENT,"$2,055.35",1%,REGULAR AIR,David Flashing,WEST,CORPORATE                ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Sony Accessory24,SMALL PACK,12916,05/04/2011,05/11/2011,IN STOCK
5847,1-URGENT,$50.51,2%,REGULAR AIR,Nathan Mautz,CENTRAL,HOME OFFICE              ,OFFICE SUPPLIES,LABELS,STANDARD LABELS,Avery 502,SMALL BOX,12913,05/03/2011,05/07/2011,IN STOCK
5848,2-HIGH,$627.12,8%,REGULAR AIR,David Flashing,WEST,CORPORATE                ,FURNITURE,OFFICE FURNISHINGS,FRAMES,Nu-Dell Executive Frame,SMALL PACK,12914,05/03/2011,05/08/2011,IN STOCK
5849,1-URGENT,$174.54,4%,REGULAR AIR,Michael Moore,EAST,HOME OFFICE              ,FURNITURE,OFFICE FURNISHINGS,FRAMES,Flat Face Poster Frame,WRAP BAG,12915,05/03/2011,05/08/2011,IN STOCK
5845,2-HIGH,$539.33,1%,EXPRESS AIR,Sharelle Roach-McGee,EAST,CORPORATE                ,TECHNOLOGY,COMPUTER PERIPHERALS,MEDIA,Verbatim DVD Rewritable Disc,SMALL PACK,12912,05/02/2011,05/04/2011,IN STOCK
5846,2-HIGH,$48.50,7%,EXPRESS AIR,Sharelle Roach-McGee,EAST,CORPORATE                ,OFFICE SUPPLIES,LABELS,STANDARD LABELS,Avery 520,SMALL BOX,12912,05/02/2011,05/08/2011,IN STOCK
5839,4-NOT SPECIFIED,"$3,929.00",1%,REGULAR AIR,David Flashing,CENTRAL,SMALL BUSINESS           ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Timeport L7089,SMALL BOX,12909,05/01/2011,05/05/2011,IN STOCK
5840,4-NOT SPECIFIED,$413.83,8%,REGULAR AIR,David Flashing,CENTRAL,SMALL BUSINESS           ,TECHNOLOGY,COMPUTER PERIPHERALS,MEDIA,TDK 4.7GB DVD-R,SMALL PACK,12909,05/01/2011,05/07/2011,IN STOCK
5841,4-NOT SPECIFIED,$266.03,1%,REGULAR AIR,David Flashing,CENTRAL,SMALL BUSINESS           ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 1995,SMALL BOX,12909,05/01/2011,05/09/2011,IN STOCK
5842,1-URGENT,"$3,318.47",3%,REGULAR AIR,Tonja Turnell,EAST,CONSUMER                 ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,LX 677,SMALL BOX,12910,05/01/2011,05/05/2011,IN STOCK
5843,1-URGENT,$54.43,0%,REGULAR AIR,Mathew Reese,EAST,HOME OFFICE              ,OFFICE SUPPLIES,LABELS,FILE LABELS,Avery 495,SMALL BOX,12911,05/01/2011,05/06/2011,IN STOCK
5844,1-URGENT,"$1,012.29",9%,REGULAR AIR,Mathew Reese,EAST,HOME OFFICE              ,OFFICE SUPPLIES,PAPER,COMPUTER PAPER,Xerox 1945,SMALL BOX,12911,05/01/2011,05/08/2011,IN STOCK
5835,3-MEDIUM,$69.51,2%,REGULAR AIR,Debra Catini-Entman,EAST,HOME OFFICE              ,OFFICE SUPPLIES,RUBBER BANDS,RUBBER BANDS,"Super Bands, 12/Pack",WRAP BAG,12908,04/30/2011,05/02/2011,IN STOCK
5836,3-MEDIUM,$48.81,9%,REGULAR AIR,Debra Catini-Entman,EAST,HOME OFFICE              ,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,ROUND RING BINDERS,Economy Binders,SMALL BOX,12908,04/30/2011,05/03/2011,IN STOCK
5837,3-MEDIUM,$151.25,10%,REGULAR AIR,Debra Catini-Entman,EAST,HOME OFFICE              ,OFFICE SUPPLIES,PENS & ART SUPPLIES,ART SUPPLIES,Newell 320,WRAP BAG,12908,04/30/2011,05/04/2011,IN STOCK
5838,3-MEDIUM,$203.01,3%,REGULAR AIR,Debra Catini-Entman,EAST,HOME OFFICE              ,OFFICE SUPPLIES,LABELS,STANDARD LABELS,Avery 483,SMALL BOX,12908,04/30/2011,05/05/2011,IN STOCK
5831,2-HIGH,$101.57,1%,REGULAR AIR,Lynn Smith-Reed,EAST,SMALL BUSINESS           ,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,ROUND RING BINDERS,Round Ring Binders,SMALL BOX,12904,04/29/2011,05/02/2011,IN STOCK
5832,1-URGENT,$906.07,9%,REGULAR AIR,MaryBeth Skach,EAST,CORPORATE                ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 1991,SMALL BOX,12905,04/29/2011,05/05/2011,IN STOCK
5833,3-MEDIUM,$268.67,7%,REGULAR AIR,Michael Moore,EAST,HOME OFFICE              ,OFFICE SUPPLIES,LABELS,STANDARD LABELS,Avery 500,SMALL BOX,12906,04/29/2011,05/03/2011,IN STOCK
5834,4-NOT SPECIFIED,"$4,033.67",8%,REGULAR AIR,Jennifer Patt,EAST,CORPORATE                ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Ericsson 5120,SMALL BOX,12907,04/29/2011,05/05/2011,IN STOCK
5829,5-LOW,$379.04,4%,REGULAR AIR,David Wiener,EAST,CORPORATE                ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,TELEPHONE ACCESSORIES,Bell Sonecor JB700 Caller ID,MEDIUM BOX,12902,04/28/2011,05/01/2011,IN STOCK
5830,5-LOW,"$5,848.38",9%,REGULAR AIR,Rose O'Brian-Murray,WEST,CONSUMER                 ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,CH 768,SMALL BOX,12903,04/28/2011,05/06/2011,IN STOCK
5824,3-MEDIUM,$520.37,3%,EXPRESS AIR,Meg O'Connel,EAST,CORPORATE                ,OFFICE SUPPLIES,PENS & ART SUPPLIES,ART SUPPLIES,Newell 334,WRAP BAG,12900,04/27/2011,04/29/2011,IN STOCK
5825,3-MEDIUM,$190.21,0%,EXPRESS AIR,Meg O'Connel,EAST,CORPORATE                ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 1904,SMALL BOX,12900,04/27/2011,05/01/2011,IN STOCK
5826,3-MEDIUM,$185.59,10%,REGULAR AIR,Meg O'Connel,EAST,CORPORATE                ,OFFICE SUPPLIES,PAPER,COMPUTER PAPER,Xerox Blank Computer Paper,SMALL BOX,12900,04/27/2011,05/02/2011,IN STOCK
5827,4-NOT SPECIFIED,"$5,889.53",10%,REGULAR AIR,Jasper Cacioppo,WEST,CONSUMER                 ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,V2282,SMALL BOX,12901,04/27/2011,04/29/2011,IN STOCK
5828,4-NOT SPECIFIED,$732.95,4%,EXPRESS AIR,Jasper Cacioppo,WEST,CONSUMER                 ,OFFICE SUPPLIES,PAPER,COMPUTER PAPER,Xerox 1935,SMALL BOX,12901,04/27/2011,05/04/2011,IN STOCK
5821,4-NOT SPECIFIED,$110.20,7%,REGULAR AIR,Jennifer Patt,CENTRAL,HOME OFFICE              ,OFFICE SUPPLIES,LABELS,FILE LABELS,Avery 506,SMALL BOX,12899,04/26/2011,04/29/2011,IN STOCK
5822,4-NOT SPECIFIED,$224.11,7%,REGULAR AIR,Jennifer Patt,CENTRAL,HOME OFFICE              ,FURNITURE,OFFICE FURNISHINGS,FRAMES,DAX Cubicle Frames - 8x10,MEDIUM BOX,12899,04/26/2011,04/30/2011,IN STOCK
5823,4-NOT SPECIFIED,$54.86,9%,REGULAR AIR,Jennifer Patt,CENTRAL,HOME OFFICE              ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 1927,SMALL BOX,12899,04/26/2011,05/02/2011,IN STOCK
5817,2-HIGH,$201.15,9%,REGULAR AIR,Shui Tom,CENTRAL,SMALL BUSINESS           ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 218,SMALL BOX,12898,04/25/2011,04/27/2011,IN STOCK
5818,2-HIGH,$264.81,4%,EXPRESS AIR,Shui Tom,CENTRAL,SMALL BUSINESS           ,OFFICE SUPPLIES,LABELS,FILE LABELS,Avery 478,SMALL BOX,12898,04/25/2011,04/29/2011,IN STOCK
5819,2-HIGH,$398.68,6%,REGULAR AIR,Shui Tom,CENTRAL,SMALL BUSINESS           ,TECHNOLOGY,COMPUTER PERIPHERALS,KEYBOARDS,Logitech Cordless Access Duo,SMALL BOX,12898,04/25/2011,04/29/2011,IN STOCK
5820,2-HIGH,$190.09,5%,REGULAR AIR,Shui Tom,CENTRAL,SMALL BUSINESS           ,OFFICE SUPPLIES,PAPER,WRITINGS PADS,Unpadded Memo Slips,WRAP BAG,12898,04/25/2011,05/01/2011,IN STOCK
5811,5-LOW,"$4,748.69",7%,EXPRESS AIR,Thomas Boland,EAST,CORPORATE                ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,V2397,SMALL BOX,12896,04/22/2011,05/05/2011,OUT OF STOCK
5812,5-LOW,$383.44,10%,EXPRESS AIR,Thomas Boland,EAST,CORPORATE                ,OFFICE SUPPLIES,STORAGE & ORGANIZATION,PLASTIC STORAGE,Eldon® Gobal File Keepers,SMALL BOX,12896,04/22/2011,05/16/2011,IN STOCK
5813,3-MEDIUM,$690.14,6%,REGULAR AIR,Jesus Ocampo,CENTRAL,CORPORATE                ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Sony Accessory35,SMALL BOX,12897,04/22/2011,04/25/2011,IN STOCK
5814,3-MEDIUM,$116.66,8%,REGULAR AIR,Jesus Ocampo,CENTRAL,CORPORATE                ,OFFICE SUPPLIES,PENS & ART SUPPLIES,PENCILS,DIXON Oriole® Pencils,WRAP BAG,12897,04/22/2011,04/27/2011,IN STOCK
5815,3-MEDIUM,"$4,792.84",2%,REGULAR AIR,Jesus Ocampo,CENTRAL,CORPORATE                ,OFFICE SUPPLIES,PAPER,COMPUTER PAPER,Xerox 189,SMALL BOX,12897,04/22/2011,04/28/2011,IN STOCK
5816,3-MEDIUM,$131.32,4%,REGULAR AIR,Jesus Ocampo,CENTRAL,CORPORATE                ,OFFICE SUPPLIES,LABELS,STANDARD LABELS,Avery 518,SMALL BOX,12897,04/22/2011,04/29/2011,IN STOCK
5802,5-LOW,"$2,137.83",6%,REGULAR AIR,Karen Seio,CENTRAL,SMALL BUSINESS           ,OFFICE SUPPLIES,APPLIANCES,VACUUM CLEANERS,"Eureka Hand Vacuum, Bagless",SMALL BOX,12890,04/20/2011,05/03/2011,IN STOCK
5803,5-LOW,$15.24,6%,REGULAR AIR,Karen Seio,CENTRAL,SMALL BUSINESS           ,OFFICE SUPPLIES,RUBBER BANDS,PAPER CLIPS,Stockwell Gold Paper Clips,WRAP BAG,12890,04/20/2011,05/03/2011,OUT OF STOCK
5804,1-URGENT,$768.68,0%,REGULAR AIR,Lena Cacioppo,EAST,SMALL BUSINESS           ,OFFICE SUPPLIES,APPLIANCES,AIR PURIFIERS,Holmes HEPA Air Purifier,MEDIUM BOX,12891,04/20/2011,04/22/2011,IN STOCK
5805,1-URGENT,$709.91,8%,REGULAR AIR,Lena Cacioppo,EAST,SMALL BUSINESS           ,OFFICE SUPPLIES,PAPER,COMPUTER PAPER,Xerox 1914,SMALL BOX,12891,04/20/2011,04/23/2011,IN STOCK
5806,1-URGENT,$729.57,8%,REGULAR AIR,Lena Cacioppo,EAST,SMALL BUSINESS           ,OFFICE SUPPLIES,PAPER,COMPUTER PAPER,Xerox 1932,SMALL BOX,12891,04/20/2011,04/23/2011,IN STOCK
5807,3-MEDIUM,"$2,339.52",10%,REGULAR AIR,Peter McVee,WEST,CORPORATE                ,OFFICE SUPPLIES,PAPER,COMPUTER PAPER,Xerox 1940,SMALL BOX,12892,04/20/2011,04/27/2011,IN STOCK
5808,3-MEDIUM,"$2,203.94",2%,REGULAR AIR,Lynn Smith-Reed,EAST,SMALL BUSINESS           ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,M3682,SMALL BOX,12893,04/20/2011,04/24/2011,IN STOCK
5809,4-NOT SPECIFIED,$204.10,0%,REGULAR AIR,Victor Price,EAST,CORPORATE                ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 218,SMALL BOX,12894,04/20/2011,04/24/2011,IN STOCK
5810,2-HIGH,$257.89,1%,REGULAR AIR,Noel Staavos,CENTRAL,CORPORATE                ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 1931,SMALL BOX,12895,04/20/2011,04/25/2011,IN STOCK
5794,3-MEDIUM,$256.24,9%,REGULAR AIR,Herbert Flentye,CENTRAL,CORPORATE                ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 232,SMALL BOX,12887,04/19/2011,04/24/2011,IN STOCK
5795,5-LOW,$171.92,7%,REGULAR AIR,Pierre Wener,CENTRAL,SMALL BUSINESS           ,OFFICE SUPPLIES,PENS & ART SUPPLIES,ART SUPPLIES,Newell 325,WRAP BAG,12888,04/19/2011,04/22/2011,IN STOCK
5796,5-LOW,$329.37,4%,EXPRESS AIR,Pierre Wener,CENTRAL,SMALL BUSINESS           ,OFFICE SUPPLIES,STORAGE & ORGANIZATION,PLASTIC STORAGE,Eldon® Gobal File Keepers,SMALL BOX,12888,04/19/2011,04/23/2011,IN STOCK
5797,3-MEDIUM,$359.55,3%,REGULAR AIR,Mathew Reese,WEST,SMALL BUSINESS           ,OFFICE SUPPLIES,PAPER,COMPUTER PAPER,Xerox 1912,SMALL BOX,12889,04/19/2011,04/21/2011,IN STOCK
5798,3-MEDIUM,$281.32,6%,EXPRESS AIR,Mathew Reese,WEST,SMALL BUSINESS           ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 1956,SMALL BOX,12889,04/19/2011,04/22/2011,IN STOCK
5799,3-MEDIUM,"$4,794.07",2%,REGULAR AIR,Mathew Reese,WEST,SMALL BUSINESS           ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Sony A1228,SMALL BOX,12889,04/19/2011,04/26/2011,IN STOCK
5800,3-MEDIUM,$333.52,7%,REGULAR AIR,Mathew Reese,WEST,SMALL BUSINESS           ,OFFICE SUPPLIES,LABELS,FILE LABELS,Avery 489,SMALL BOX,12889,04/19/2011,04/26/2011,IN STOCK
5801,3-MEDIUM,$331.52,4%,DELIVERY TRUCK,Mathew Reese,WEST,SMALL BUSINESS           ,FURNITURE,CHAIRS & CHAIRMATS,OFFICE CHAIRS,Global Deluxe Steno Chair,JUMBO DRUM,12889,04/19/2011,05/01/2011,IN STOCK
5792,4-NOT SPECIFIED,"$4,840.26",0%,REGULAR AIR,Jesus Ocampo,EAST,CONSUMER                 ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,TimeportL7089,SMALL BOX,12885,04/18/2011,04/20/2011,IN STOCK
5793,4-NOT SPECIFIED,$315.42,10%,REGULAR AIR,Jennifer Patt,EAST,CORPORATE                ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 197,SMALL BOX,12886,04/18/2011,04/20/2011,IN STOCK
5780,4-NOT SPECIFIED,$75.63,3%,REGULAR AIR,Lena Cacioppo,WEST,CONSUMER                 ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 231,SMALL BOX,12880,04/17/2011,04/19/2011,IN STOCK
5781,4-NOT SPECIFIED,$554.01,10%,DELIVERY TRUCK,Lena Cacioppo,WEST,CONSUMER                 ,FURNITURE,TABLES,MEETING ROOM TABLES,KI Adjustable-Height Table,JUMBO BOX,12880,04/17/2011,04/24/2011,IN STOCK
5782,2-HIGH,"$3,274.80",7%,REGULAR AIR,Stephanie Ulpright,EAST,CONSUMER                 ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Sony Accessory34,WRAP BAG,12881,04/17/2011,04/20/2011,IN STOCK
5783,2-HIGH,$237.71,1%,REGULAR AIR,Stephanie Ulpright,EAST,CONSUMER                 ,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,HANGING BINDERS,Binder Posts,SMALL BOX,12881,04/17/2011,04/22/2011,IN STOCK
5784,5-LOW,"$1,388.77",2%,REGULAR AIR,Speros Goranitis,CENTRAL,HOME OFFICE              ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Sony Accessory26,WRAP BAG,12882,04/17/2011,04/19/2011,IN STOCK
5785,5-LOW,$12.91,10%,REGULAR AIR,Speros Goranitis,CENTRAL,HOME OFFICE              ,FURNITURE,OFFICE FURNISHINGS,FRAMES,Nu-Dell Oak Frame,SMALL PACK,12882,04/17/2011,05/03/2011,OUT OF STOCK
5786,3-MEDIUM,$293.95,9%,REGULAR AIR,David Wiener,EAST,HOME OFFICE              ,FURNITURE,OFFICE FURNISHINGS,CLOCKS,"Executive Impressions 14""",SMALL PACK,12883,04/17/2011,04/19/2011,IN STOCK
5787,3-MEDIUM,$86.70,1%,REGULAR AIR,David Wiener,EAST,HOME OFFICE              ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 229,SMALL BOX,12883,04/17/2011,04/20/2011,IN STOCK
5788,3-MEDIUM,$313.95,2%,REGULAR AIR,David Wiener,EAST,HOME OFFICE              ,OFFICE SUPPLIES,APPLIANCES,AIR PURIFIERS,3M Office Air Cleaner,MEDIUM BOX,12883,04/17/2011,04/21/2011,IN STOCK
5789,3-MEDIUM,"$2,559.08",7%,REGULAR AIR,David Wiener,EAST,HOME OFFICE              ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,R380,SMALL BOX,12883,04/17/2011,04/21/2011,IN STOCK
5790,3-MEDIUM,$342.78,6%,REGULAR AIR,David Wiener,EAST,HOME OFFICE              ,FURNITURE,OFFICE FURNISHINGS,FRAMES,Staples Plastic Wall Frames,SMALL BOX,12883,04/17/2011,04/21/2011,IN STOCK
5791,5-LOW,$305.59,5%,REGULAR AIR,Sharelle Roach-McGee,CENTRAL,CONSUMER                 ,FURNITURE,OFFICE FURNISHINGS,FRAMES,Coloredge Poster Frame,WRAP BAG,12884,04/17/2011,05/05/2011,OUT OF STOCK
5770,2-HIGH,$79.50,9%,EXPRESS AIR,Sandra Glassco,EAST,CONSUMER                 ,OFFICE SUPPLIES,PENS & ART SUPPLIES,PENCILS,Staples* #2 Yellow Pencils,WRAP BAG,12872,04/16/2011,04/18/2011,IN STOCK
5771,5-LOW,"$19,224.92",10%,DELIVERY TRUCK,Nona Balk,EAST,SMALL BUSINESS           ,TECHNOLOGY,COPIERS AND FAX,COPIERS,Canon PC940 Copier,JUMBO DRUM,12873,04/16/2011,04/20/2011,IN STOCK
5772,2-HIGH,$140.31,6%,REGULAR AIR,Meg O'Connel,CENTRAL,HOME OFFICE              ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 1984,SMALL BOX,12874,04/16/2011,04/18/2011,IN STOCK
5773,3-MEDIUM,$56.98,1%,REGULAR AIR,Ellis Ballard,CENTRAL,SMALL BUSINESS           ,OFFICE SUPPLIES,PENS & ART SUPPLIES,ART SUPPLIES,Newell 31,WRAP BAG,12875,04/16/2011,04/18/2011,IN STOCK
5774,5-LOW,"$1,744.50",4%,REGULAR AIR,Skye Norling-Christen,EAST,HOME OFFICE              ,OFFICE SUPPLIES,PAPER,COMPUTER PAPER,Xerox 1940,SMALL BOX,12876,04/16/2011,04/19/2011,IN STOCK
5775,5-LOW,$89.88,4%,REGULAR AIR,Skye Norling-Christen,EAST,HOME OFFICE              ,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",LETTER OPENERS,Staples* Letter Opener,WRAP BAG,12876,04/16/2011,05/03/2011,IN STOCK
5776,2-HIGH,$83.21,4%,EXPRESS AIR,Maurice Satty,CENTRAL,SMALL BUSINESS           ,OFFICE SUPPLIES,RUBBER BANDS,PAPER CLIPS,Stockwell Gold Paper Clips,WRAP BAG,12877,04/16/2011,04/22/2011,IN STOCK
5777,2-HIGH,$84.01,5%,REGULAR AIR,Maurice Satty,CENTRAL,SMALL BUSINESS           ,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,ROUND RING BINDERS,Avery Durable Binders,SMALL BOX,12877,04/16/2011,04/23/2011,IN STOCK
5778,1-URGENT,$284.91,3%,REGULAR AIR,Hallie Redmond,WEST,CONSUMER                 ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Sony Accessory28,SMALL PACK,12878,04/16/2011,04/18/2011,IN STOCK
5779,5-LOW,$591.90,8%,DELIVERY TRUCK,Jim Sink,CENTRAL,CONSUMER                 ,FURNITURE,BOOKCASES,WOODEN BOOKCASES,Sauder Barrister Bookcases,JUMBO BOX,12879,04/16/2011,04/27/2011,IN STOCK
5758,1-URGENT,"$1,029.66",8%,REGULAR AIR,Rick Reed,EAST,CORPORATE                ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,StarTAC Series,SMALL BOX,12866,04/15/2011,04/22/2011,IN STOCK
5759,1-URGENT,$144.84,9%,REGULAR AIR,Nona Balk,CENTRAL,CONSUMER                 ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 1924,SMALL BOX,12867,04/15/2011,04/18/2011,IN STOCK
5760,1-URGENT,$123.61,3%,EXPRESS AIR,Nona Balk,CENTRAL,CONSUMER                 ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 217,SMALL BOX,12867,04/15/2011,04/19/2011,IN STOCK
5761,1-URGENT,$120.22,4%,REGULAR AIR,Nona Balk,CENTRAL,CONSUMER                 ,OFFICE SUPPLIES,PENS & ART SUPPLIES,ART SUPPLIES,Newell 344,WRAP BAG,12867,04/15/2011,04/20/2011,IN STOCK
5762,5-LOW,$565.81,6%,REGULAR AIR,Skye Norling-Christen,EAST,SMALL BUSINESS           ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Sony Accessory30,WRAP BAG,12868,04/15/2011,04/18/2011,IN STOCK
5763,5-LOW,$144.97,6%,REGULAR AIR,Skye Norling-Christen,EAST,SMALL BUSINESS           ,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,ROUND RING BINDERS,Avery Durable Binders,SMALL BOX,12868,04/15/2011,04/18/2011,IN STOCK
5764,5-LOW,$97.88,1%,EXPRESS AIR,Skye Norling-Christen,EAST,SMALL BUSINESS           ,OFFICE SUPPLIES,RUBBER BANDS,PINS AND TACKS,Colored Push Pins,WRAP BAG,12868,04/15/2011,04/19/2011,IN STOCK
5765,5-LOW,$259.41,3%,EXPRESS AIR,Skye Norling-Christen,EAST,SMALL BUSINESS           ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,i85s,SMALL BOX,12868,04/15/2011,04/28/2011,OUT OF STOCK
5766,5-LOW,$232.31,1%,REGULAR AIR,Skye Norling-Christen,EAST,SMALL BUSINESS           ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 216,SMALL BOX,12868,04/15/2011,05/03/2011,IN STOCK
5767,5-LOW,"$1,600.30",6%,REGULAR AIR,Jim Sink,WEST,SMALL BUSINESS           ,OFFICE SUPPLIES,PAPER,COMPUTER PAPER,Xerox 1937,SMALL BOX,12869,04/15/2011,04/28/2011,IN STOCK
5768,4-NOT SPECIFIED,"$2,556.12",1%,REGULAR AIR,Jim Sink,WEST,SMALL BUSINESS           ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Ericsson 6160,SMALL BOX,12870,04/15/2011,04/20/2011,IN STOCK
5769,3-MEDIUM,$513.26,3%,EXPRESS AIR,Olvera Toch,EAST,CORPORATE                ,TECHNOLOGY,COMPUTER PERIPHERALS,MEDIA,Verbatim DVD Rewritable Disc,SMALL PACK,12871,04/15/2011,04/20/2011,IN STOCK
5756,1-URGENT,$226.04,5%,EXPRESS AIR,Thomas Boland,CENTRAL,CORPORATE                ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,TELEPHONE ACCESSORIES,Bell Sonecor JB700 Caller ID,MEDIUM BOX,12864,04/14/2011,04/19/2011,IN STOCK
5757,2-HIGH,$71.32,6%,REGULAR AIR,Hallie Redmond,EAST,SMALL BUSINESS           ,OFFICE SUPPLIES,RUBBER BANDS,PAPER CLIPS,Binder Clips by OIC,WRAP BAG,12865,04/14/2011,04/17/2011,IN STOCK
5750,2-HIGH,$117.80,4%,REGULAR AIR,Michael Moore,CENTRAL,CONSUMER                 ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 1963,SMALL BOX,12862,04/12/2011,04/15/2011,IN STOCK
5751,2-HIGH,$4.08,1%,REGULAR AIR,Michael Moore,CENTRAL,CONSUMER                 ,TECHNOLOGY,COMPUTER PERIPHERALS,MEDIA,Maxell CD-R Discs,SMALL PACK,12862,04/12/2011,04/19/2011,IN STOCK
5752,5-LOW,"$2,003.60",8%,EXPRESS AIR,Victor Price,EAST,HOME OFFICE              ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,T61,SMALL BOX,12863,04/12/2011,04/16/2011,IN STOCK
5753,5-LOW,"$3,340.75",10%,REGULAR AIR,Victor Price,EAST,HOME OFFICE              ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Ericsson 3285,SMALL BOX,12863,04/12/2011,04/20/2011,IN STOCK
5754,5-LOW,$118.36,8%,EXPRESS AIR,Victor Price,EAST,HOME OFFICE              ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 210,SMALL BOX,12863,04/12/2011,04/21/2011,IN STOCK
5755,5-LOW,$113.30,5%,REGULAR AIR,Victor Price,EAST,HOME OFFICE              ,FURNITURE,OFFICE FURNISHINGS,LIGHTING,Longer-Life Soft White Bulbs,SMALL PACK,12863,04/12/2011,04/23/2011,IN STOCK
5745,3-MEDIUM,$47.17,5%,REGULAR AIR,Elizabeth Moffitt,CENTRAL,CONSUMER                 ,FURNITURE,OFFICE FURNISHINGS,LIGHTING,Longer-Life Soft White Bulbs,SMALL PACK,12859,04/11/2011,04/14/2011,IN STOCK
